created_on,name,database_name,schema_name,url,has_credentials,has_encryption_key,owner,comment,region,type,cloud,notification_channel,storage_integration,endpoint,owner_role_type,directory_enabled
2026-08-17 23:11:10.105 -0700,S3_ADZUNA,AU_JOBS_RADAR,RAW,s3://au-jobs-radar-raw/adzuna/,N,N,DBT_ROLE,,ap-southeast-2,EXTERNAL,AWS,,AU_JOBS_RADAR_S3,,ROLE,N
2026-08-23 22:21:54.862 -0700,S3_LLM_EXTRACT,AU_JOBS_RADAR,RAW,s3://au-jobs-radar-raw/adzuna_llm_extract/,N,N,DBT_ROLE,,ap-southeast-2,EXTERNAL,AWS,,AU_JOBS_RADAR_S3,,ROLE,N
